Start Time (UTC) = 1729570486.078829
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.098400	1559.5962	1554.2080	1549.1860	1545.0824	1542.3143	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.099200	1559.5962	1554.2080	1549.1876	1545.0824	1542.3143	1559.5835	1553.7266	1549.1290	1546.4928	1542.6475
0.100000	1559.5962	1554.2088	1549.1860	1545.0816	1542.3135	1559.5859	1553.7282	1549.1297	1546.4936	1542.6475
0.100800	1559.5962	1554.2072	1549.1868	1545.0832	1542.3143	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.101600	1559.5962	1554.2072	1549.1860	1545.0824	1542.3127	1559.5843	1553.7282	1549.1297	1546.4928	1542.6468
0.102400	1559.5962	1554.2080	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1297	1546.4928	1542.6468
0.103200	1559.5962	1554.2080	1549.1860	1545.0840	1542.3135	1559.5843	1553.7282	1549.1282	1546.4920	1542.6475
0.104000	1559.5970	1554.2080	1549.1860	1545.0824	1542.3127	1559.5843	1553.7282	1549.1290	1546.4920	1542.6468
0.104800	1559.5954	1554.2080	1549.1860	1545.0832	1542.3127	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.105600	1559.5970	1554.2080	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1290	1546.4928	1542.6468
0.106400	1559.5970	1554.2080	1549.1860	1545.0824	1542.3135	1559.5867	1553.7282	1549.1290	1546.4920	1542.6475
0.107200	1559.5962	1554.2080	1549.1868	1545.0824	1542.3143	1559.5851	1553.7274	1549.1290	1546.4920	1542.6468
0.108000	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4912	1542.6475
0.108800	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6475
0.109600	1559.5962	1554.2080	1549.1868	1545.0816	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.110400	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6468
0.111200	1559.5962	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7282	1549.1290	1546.4920	1542.6468
0.112000	1559.5970	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1290	1546.4920	1542.6475
0.112800	1559.5962	1554.2088	1549.1860	1545.0824	1542.3135	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
0.113600	1559.5954	1554.2096	1549.1860	1545.0824	1542.3127	1559.5851	1553.7290	1549.1274	1546.4928	1542.6468
0.114400	1559.5962	1554.2080	1549.1860	1545.0832	1542.3127	1559.5851	1553.7274	1549.1282	1546.4928	1542.6468
0.115200	1559.5954	1554.2088	1549.1860	1545.0824	1542.3135	1559.5843	1553.7274	1549.1290	1546.4928	1542.6468
0.116000	1559.5954	1554.2080	1549.1868	1545.0832	1542.3143	1559.5843	1553.7274	1549.1297	1546.4928	1542.6468
0.116800	1559.5962	1554.2080	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4920	1542.6468
0.117600	1559.5954	1554.2088	1549.1852	1545.0832	1542.3143	1559.5851	1553.7290	1549.1282	1546.4928	1542.6468
0.118400	1559.5962	1554.2072	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.119200	1559.5962	1554.2080	1549.1868	1545.0832	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.120000	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4928	1542.6475
0.120800	1559.5962	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
0.121600	1559.5954	1554.2080	1549.1860	1545.0832	1542.3135	1559.5851	1553.7282	1549.1282	1546.4920	1542.6468
0.122400	1559.5962	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7282	1549.1290	1546.4928	1542.6475
0.123200	1559.5954	1554.2096	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4928	1542.6468
0.124000	1559.5962	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4936	1542.6475
0.124800	1559.5962	1554.2072	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4920	1542.6468
0.125600	1559.5954	1554.2072	1549.1868	1545.0824	1542.3143	1559.5851	1553.7274	1549.1282	1546.4920	1542.6475
0.126400	1559.5954	1554.2072	1549.1876	1545.0832	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6468
0.127200	1559.5954	1554.2088	1549.1868	1545.0832	1542.3135	1559.5851	1553.7282	1549.1297	1546.4928	1542.6475
0.128000	1559.5962	1554.2072	1549.1868	1545.0840	1542.3143	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.128800	1559.5962	1554.2072	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
0.129600	1559.5962	1554.2080	1549.1868	1545.0832	1542.3135	1559.5851	1553.7274	1549.1297	1546.4920	1542.6468
0.130400	1559.5954	1554.2088	1549.1860	1545.0832	1542.3135	1559.5851	1553.7290	1549.1290	1546.4928	1542.6475
0.131200	1559.5962	1554.2088	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4928	1542.6468
0.132000	1559.5954	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4928	1542.6475
0.132800	1559.5970	1554.2072	1549.1868	1545.0832	1542.3143	1559.5851	1553.7266	1549.1297	1546.4920	1542.6468
0.133600	1559.5954	1554.2088	1549.1860	1545.0832	1542.3135	1559.5851	1553.7282	1549.1290	1546.4936	1542.6468
0.134400	1559.5954	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7290	1549.1297	1546.4928	1542.6468
0.135200	1559.5962	1554.2072	1549.1876	1545.0832	1542.3143	1559.5851	1553.7266	1549.1290	1546.4920	1542.6475
0.136000	1559.5954	1554.2088	1549.1868	1545.0832	1542.3135	1559.5843	1553.7282	1549.1290	1546.4920	1542.6475
0.136800	1559.5954	1554.2096	1549.1860	1545.0824	1542.3135	1559.5843	1553.7282	1549.1290	1546.4928	1542.6468
0.137600	1559.5954	1554.2080	1549.1860	1545.0832	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.138400	1559.5962	1554.2072	1549.1868	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4928	1542.6475
0.139200	1559.5962	1554.2080	1549.1860	1545.0832	1542.3135	1559.5859	1553.7274	1549.1290	1546.4936	1542.6475
0.140000	1559.5962	1554.2080	1549.1860	1545.0832	1542.3135	1559.5859	1553.7282	1549.1290	1546.4928	1542.6468
0.140800	1559.5954	1554.2072	1549.1868	1545.0832	1542.3135	1559.5843	1553.7274	1549.1282	1546.4928	1542.6475
0.141600	1559.5962	1554.2080	1549.1868	1545.0832	1542.3135	1559.5851	1553.7282	1549.1290	1546.4920	1542.6475
0.142400	1559.5954	1554.2088	1549.1860	1545.0832	1542.3143	1559.5835	1553.7282	1549.1282	1546.4928	1542.6475
0.143200	1559.5954	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6475
0.144000	1559.5954	1554.2072	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1282	1546.4928	1542.6468
0.144800	1559.5962	1554.2080	1549.1852	1545.0832	1542.3135	1559.5851	1553.7282	1549.1297	1546.4920	1542.6475
0.145600	1559.5962	1554.2080	1549.1860	1545.0840	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6468
0.146400	1559.5962	1554.2080	1549.1876	1545.0832	1542.3143	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.147200	1559.5946	1554.2072	1549.1868	1545.0832	1542.3143	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.148000	1559.5962	1554.2080	1549.1860	1545.0832	1542.3143	1559.5851	1553.7274	1549.1290	1546.4943	1542.6475
0.148800	1559.5962	1554.2080	1549.1868	1545.0832	1542.3135	1559.5851	1553.7274	1549.1290	1546.4920	1542.6468
0.149600	1559.5954	1554.2080	1549.1860	1545.0832	1542.3143	1559.5835	1553.7274	1549.1290	1546.4928	1542.6475
0.150400	1559.5954	1554.2072	1549.1876	1545.0824	1542.3143	1559.5851	1553.7266	1549.1297	1546.4920	1542.6468
0.151200	1559.5962	1554.2080	1549.1860	1545.0832	1542.3135	1559.5851	1553.7282	1549.1290	1546.4928	1542.6475
0.152000	1559.5954	1554.2088	1549.1868	1545.0832	1542.3143	1559.5859	1553.7282	1549.1297	1546.4936	1542.6475
0.152800	1559.5954	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7282	1549.1297	1546.4928	1542.6475
0.153600	1559.5954	1554.2080	1549.1868	1545.0824	1542.3143	1559.5843	1553.7274	1549.1290	1546.4928	1542.6475
